Name,URI,Region GSS code,Period,Sales volume,Reporting period,House price index All property types,Pivotable date
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2017-09,320,monthly,111.06,01-09-17
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2017-09,1106,monthly,117.87,01-09-17
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2017-09,3063,monthly,115.12,01-09-17
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2017-10,698,monthly,115.17,01-10-17
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2017-10,299,monthly,109.48,01-10-17
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2017-10,1120,monthly,117.34,01-10-17
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2017-10,3241,monthly,114.91,01-10-17
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2017-11,788,monthly,113.49,01-11-17
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2017-11,296,monthly,108.4,01-11-17
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2017-11,1110,monthly,117.53,01-11-17
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2017-11,3232,monthly,114.57,01-11-17
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2017-12,651,monthly,113.47,01-12-17
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2017-12,301,monthly,109.63,01-12-17
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2017-12,1104,monthly,118.64,01-12-17
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2017-12,3160,monthly,115.22,01-12-17
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2018-01,530,monthly,111.69,01-01-18
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2018-01,192,monthly,109.87,01-01-18
